"","datasetName","Year","Month","individualCount","vernacularName","geometry"
"1539",NA,"2012","09",NA,"squid long finned",c(-70.4629303322888, 42.9863202942689)
"1540",NA,"2012","05",NA,"squid long finned",c(-68.4396896929155, 44.2117000739009)
"1541","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1542","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1543",NA,"2007","04","1",NA,c(-68.97188, 42.61313)
"1544",NA,"2004","10",NA,"squid long finned",c(-70.3830004564919, 43.1511702155266)
"1545",NA,"2015","06",NA,"squid long finned",c(-67.1675654598049, 44.4078901789226)
"1546",NA,"2007","05",NA,"squid long finned",c(-68.7583596944933, 44.1400350340394)
"1547",NA,"2009","10",NA,"squid long finned",c(-70.2876352338025, 43.5489751050934)
"1548",NA,"2011","11",NA,"squid long finned",c(-67.5028254368652, 44.2955751974926)
"1549",NA,"2012","05",NA,"squid long finned",c(-70.0024753365465, 43.6536851067328)
"1550","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.2505, 42.525833)
"1551",NA,"2001","05",NA,"squid long finned",c(-66.9583006280572, 44.7060001821771)
"1552","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"1553","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.578333, 42.326667)
"1554",NA,"2016","05",NA,"squid long finned",c(-68.4358795005695, 44.250930092403)
"1555","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2018","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.945333, 44.154)
"1556",NA,"2014","09",NA,"squid long finned",c(-70.670035460205, 42.8896101281748)
"1557",NA,"2009","10",NA,"squid long finned",c(-70.6591104409893, 42.986835110104)
"1558",NA,"2007","10",NA,"squid long finned",c(-70.0941954979133, 43.6514651408912)
"1559","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.573333, 42.716667)
"1560","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.256167, 44.419333)
"1561",NA,"2017","06",NA,"squid long finned",c(-67.4237653939562, 44.5655251478956)
"1562",NA,"2007","06",NA,"squid long finned",c(-67.4428005647032, 44.5325802993626)
"1563",NA,"2014","10",NA,"squid long finned",c(-67.9742601352925, 44.1816200151103)
"1564",NA,"2012","09",NA,"squid long finned",c(-70.4747755349572, 43.0434101674907)
"1565",NA,"2007","10",NA,"squid long finned",c(-68.4123802352223, 44.0076752665134)
"1566",NA,"2008","10",NA,"squid long finned",c(-69.7470050909814, 43.7014350068433)
"1567",NA,"2011","11",NA,"squid long finned",c(-67.8218655123823, 44.255985163186)
"1568","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.081667, 42.212333)
"1569",NA,"2008","10",NA,"squid long finned",c(-69.8729004200914, 43.5101603071611)
"1570","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1571",NA,"2009","10",NA,"squid long finned",c(-69.9340855940312, 43.4752751968055)
"1572","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1573","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1574","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-66.342, 44.2088)
"1575","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.472833, 42.620333)
"1576","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.282667, 44.849333)
"1577",NA,"2011","10",NA,"squid long finned",c(-70.1031747726979, 43.4523150245339)
"1578",NA,"2001","10",NA,"squid long finned",c(-69.0385504492557, 43.8038500756423)
"1579",NA,"2006","10",NA,"squid long finned",c(-68.5593704923976, 43.7969152540132)
"1580","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2011","07",NA,NA,c(-66.2713, 42.2197)
"1581","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.425667, 42.362)
"1582",NA,"2016","10",NA,"squid long finned",c(-68.0781552030107, 44.1071750734395)
"1583",NA,"2012","05",NA,"squid long finned",c(-70.151299573164, 43.4275851125238)
"1584",NA,"2008","11","20",NA,c(-70.30432, 42.35384)
"1585",NA,"2009","10",NA,"squid long finned",c(-68.6393496009486, 43.7461901237637)
"1586",NA,"2014","05",NA,"squid long finned",c(-69.4947549863451, 43.7985300038367)
"1587",NA,"2002","10",NA,"squid long finned",c(-70.3875305409502, 43.1489751307369)
"1588",NA,"2001","10",NA,"squid long finned",c(-69.7436500707913, 43.7124500056159)
"1589","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-65.638, 42.5917)
"1590",NA,"2014","10",NA,"squid long finned",c(-67.8935404696169, 44.2333101803714)
"1591",NA,"2017","10",NA,"squid long finned",c(-70.2044354633723, 43.4357250933013)
"1592","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.6135, 42.696333)
"1593",NA,"2001","10",NA,"squid long finned",c(-69.6960001749609, 43.7733000141466)
"1594","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.847833, 42.057667)
"1595",NA,"2003","06",NA,"squid long finned",c(-67.5312654167006, 44.4330251037519)
"1596",NA,"2006","10",NA,"squid long finned",c(-69.6536502544456, 43.7637650598187)
"1597",NA,"2001","10",NA,"squid long finned",c(-68.4282005617238, 44.2091003029214)
"1598",NA,"2000","10","131",NA,c(-70.3575, 42.23283)
"1599","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2012","07",NA,NA,c(-66.0655, 44.8405)
"1600","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2012","07",NA,NA,c(-65.6662, 44.9152)
"1601",NA,"2005","10",NA,"squid long finned",c(-70.0852502831554, 43.6570801214833)
"1602",NA,"2015","10",NA,"squid long finned",c(-69.8459902405239, 43.5930850518725)
"1603","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.342, 44.208833)
"1604","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","08",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.385167, 42.296333)
"1605",NA,"2016","10",NA,"squid long finned",c(-70.0607852802569, 43.7813000476202)
"1606",NA,"2016","06",NA,"squid long finned",c(-67.1301457678922, 44.6585352952028)
"1607",NA,"2017","11",NA,"squid long finned",c(-67.3594103521157, 44.6121350549334)
"1608","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"1609",NA,"2012","05",NA,"squid long finned",c(-68.7391252491255, 43.8520501187989)
"1610","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.170333, 42.146333)
"1611",NA,"2017","05",NA,"squid long finned",c(-68.3442293985302, 44.0439101632444)
"1612","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2013","07",NA,NA,c(-65.976, 42.7073)
"1613",NA,"2019","10",NA,"squid long finned",c(-69.173038468262, 43.7663860280432)
"1614","MARITIMES SPRING RESEARCH VESSEL SURVEY","2020","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.426, 42.6985)
"1615",NA,"2001","10",NA,"squid long finned",c(-69.5271999181329, 43.849600006448)
"1616",NA,"2019","10",NA,"squid long finned",c(-67.6036581304216, 44.3115719530817)
"1617",NA,"2007","05",NA,"squid long finned",c(-68.3683754337293, 43.8717750991244)
"1618",NA,"2008","10","113",NA,c(-70.76128, 42.35358)
"1619","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.9415, 43.014667)
"1620",NA,"2017","10",NA,"squid long finned",c(-69.488920129445, 43.8226800096594)
"1621",NA,"2019","09",NA,"squid long finned",c(-70.2783550918432, 43.5286946417267)
"1622","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1623",NA,"2017","10",NA,"squid long finned",c(-70.7102253689057, 42.9308651324445)
"1624","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.55, 43.946333)
"1625",NA,"2016","06",NA,"squid long finned",c(-67.4782755557181, 44.4165002996707)
"1626",NA,"2019","09",NA,"squid long finned",c(-70.1847683256836, 43.4556818706451)
"1627",NA,"2010","10",NA,"squid long finned",c(-70.196105462237, 43.4839901089041)
"1628",NA,"2000","11",NA,"squid long finned",c(-70.2381505113677, 43.3915500872152)
"1629",NA,"2019","10",NA,"squid long finned",c(-69.4399805704686, 43.8077479584031)
"1630",NA,"2014","05",NA,"squid long finned",c(-68.7556051845925, 43.9101800151584)
"1631",NA,"2009","10",NA,"squid long finned",c(-69.5506346723511, 43.6146150440133)
"1632",NA,"2017","05",NA,"squid long finned",c(-69.0355102967425, 43.8808700334716)
"1633","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1634","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.528, 43.665667)
"1635","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2017","07",NA,NA,c(-65.7585, 42.5405)
"1636",NA,"2000","04","1",NA,c(-66.89967, 44.38717)
"1637","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.495833, 42.607333)
"1638",NA,"2012","09",NA,"squid long finned",c(-70.7142555008168, 42.9272001531865)
"1639",NA,"2014","10",NA,"squid long finned",c(-70.1702504319261, 43.7154251204718)
"1640",NA,"2017","10",NA,"squid long finned",c(-70.202820174937, 43.6068800268916)
"1641",NA,"2010","10",NA,"squid long finned",c(-69.1381255179479, 43.6394701216559)
"1642","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1643","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"1644","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.128333, 44.551833)
"1645","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.7245, 42.973167)
"1646","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-66.342, 44.2088)
"1647",NA,"2011","10",NA,"squid long finned",c(-69.8658255996765, 43.6069552163501)
"1648","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.265667, 42.738667)
"1649","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1650",NA,"2001","09",NA,"squid long finned",c(-70.2708497908313, 43.4748000396757)
"1651",NA,"2016","10",NA,"squid long finned",c(-67.6817704136713, 44.3076652374279)
"1652",NA,"2010","10",NA,"squid long finned",c(-68.7813495410961, 43.9216951402847)
"1653",NA,"2013","10",NA,"squid long finned",c(-69.5313002178809, 43.8148250449189)
"1654",NA,"2015","10",NA,"squid long finned",c(-70.2706552677438, 43.5304353070551)
"1655","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.759667, 42.421833)
"1656",NA,"2012","10",NA,"squid long finned",c(-67.7794905043233, 44.2371851151072)
"1657","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.425667, 42.362)
"1658","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-66.342, 44.2088)
"1659",NA,"2010","10",NA,"squid long finned",c(-69.0383302400313, 44.1377850240756)
"1660",NA,"2008","10",NA,"squid long finned",c(-68.0599504534229, 44.0529901297955)
"1661",NA,"2003","11",NA,"squid long finned",c(-68.6483305050398, 43.7725002160039)
"1662",NA,"2008","10","1",NA,c(-66.85362, 43.94505)
"1663","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-64.2505, 43.495)
"1664",NA,"2017","10",NA,"squid long finned",c(-70.5071005140388, 43.2433001506045)
"1665","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.856167, 43.555)
"1666",NA,"2010","10",NA,"squid long finned",c(-68.4434250825681, 43.985060010731)
"1667","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2017","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.7585, 42.5405)
"1668",NA,"2004","10","1",NA,c(-70.3346, 42.39304)
"1669","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"1670","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2016","07",NA,NA,c(-66.1703, 42.1463)
"1671","MARITIMES SPRING RESEARCH VESSEL SURVEY","2020","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.426, 42.6985)
"1672","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2005","07",NA,NA,c(-66.3892, 44.1533)
"1673",NA,"2016","10",NA,"squid long finned",c(-69.0760605429353, 43.7494901569951)
"1674",NA,"2001","10",NA,"squid long finned",c(-67.0901003755623, 44.3989503550947)
"1675","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.114167, 42.826)
"1676",NA,"2005","10","1",NA,c(-67.91365, 44.18187)
"1677","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1678","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"1679",NA,"2018","10",NA,"squid long finned",c(-70.5696598355203, 43.2285150150574)
"1680",NA,"2012","10",NA,"squid long finned",c(-69.0512900666507, 43.6092803495702)
"1681","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1682",NA,"2015","10",NA,"squid long finned",c(-70.2011905276531, 43.3202402076449)
"1683","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-65.2383, 42.6107)
"1684",NA,"2013","10",NA,"squid long finned",c(-67.7593755010279, 44.2034101300383)
"1685",NA,"2010","11",NA,"squid long finned",c(-67.6299304162268, 44.2864503319967)
"1686",NA,"2007","10",NA,"squid long finned",c(-68.062360493656, 44.0517002403736)
"1687","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.579833, 44.96)
"1688","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.746, 42.908333)
"1689","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-66.5733, 42.7167)
"1690",NA,"2011","05",NA,"squid long finned",c(-67.653450373312, 44.3463335504655)
"1691",NA,"2009","05",NA,"squid long finned",c(-68.5189499033092, 44.283075007263)
"1692",NA,"2015","06",NA,"squid long finned",c(-67.6250804982757, 44.3307250942694)
"1693",NA,"2006","10",NA,"squid long finned",c(-68.2213447288468, 44.0562400987217)
"1694","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.858667, 42.482333)
"1695",NA,"2009","05",NA,"squid long finned",c(-68.1668246361452, 44.3671400556196)
"1696","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2014","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.746, 42.908333)
"1697",NA,"2013","10",NA,"squid long finned",c(-68.7343901129299, 43.8546800833802)
"1698",NA,"2009","10",NA,"squid long finned",c(-70.494295337731, 42.9955400504001)
"1699","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.988833, 42.204333)
"1700",NA,"2002","10",NA,"squid long finned",c(-69.1480653836792, 43.7495100973421)
"1701",NA,"2002","10","1447",NA,c(-70.55733, 42.18167)
"1702",NA,"2016","05",NA,"squid long finned",c(-68.1167752844687, 44.3877900299142)
"1703",NA,"2004","06",NA,"squid long finned",c(-67.3041654606679, 44.5874202259795)
"1704","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.399833, 43.793667)
"1705","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1706","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.326667, 42.3955)
"1707","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.581667, 42.264167)
"1708","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-66.55, 43.9463)
"1709","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-64.822, 42.497)
"1710","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.342, 44.208833)
"1711","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.759667, 42.421833)
"1712",NA,"2016","05",NA,"squid long finned",c(-68.7241193916904, 44.2483401932588)
"1713",NA,"2001","10","644",NA,c(-70.54202, 42.22871)
"1714",NA,"2015","09",NA,"squid long finned",c(-70.521535476617, 42.9412251401203)
"1715",NA,"2002","10",NA,"squid long finned",c(-70.0840149985449, 43.756695002981)
"1716","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2012","07",NA,NA,c(-66.0655, 44.8405)
"1717","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.754833, 42.272833)
"1718",NA,"2002","10",NA,"squid long finned",c(-70.680335070113, 42.9470150062145)
"1719",NA,"2019","09",NA,"squid long finned",c(-70.3629610100553, 43.500182420963)
"1720","MARITIMES SPRING RESEARCH VESSEL SURVEY","2016","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.736667, 43.609667)
"1721",NA,"2015","10",NA,"squid long finned",c(-68.7583502922703, 43.9065500372794)
"1722","MARITIMES SPRING RESEARCH VESSEL SURVEY","2017","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.7895, 42.113667)
"1723",NA,"2001","10",NA,"squid long finned",c(-68.9413506154217, 43.6085501532153)
"1724",NA,"2012","10",NA,"squid long finned",c(-67.8844755044743, 44.2666803266515)
"1725","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2019","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.545167, 44.158833)
"1726","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2012","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.666167, 44.915167)
"1727","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.086167, 42.212667)
"1728",NA,"2000","10","NA",NA,c(-70.33017, 42.04367)
"1729","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.8545, 42.099333)
"1730","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.754833, 42.272833)
"1731","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.342, 44.208833)
"1732","MARITIMES SPRING RESEARCH VESSEL SURVEY","2015","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.2705, 42.0905)
"1733","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2015","07",NA,NA,c(-66.2657, 42.7387)
"1734","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1735",NA,"2000","10",NA,"squid long finned",c(-70.5609503267017, 43.0256501042717)
"1736","MARITIMES SPRING RESEARCH VESSEL SURVEY","2019","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.754833, 42.272833)
"1737","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"1738",NA,"2004","10",NA,"squid long finned",c(-69.649795025099, 43.750120004164)
"1739","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.875667, 42.468833)
"1740","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2014","07",NA,NA,c(-64.4457, 43.4265)
"1741","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.362667, 44.103833)
"1742","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.725167, 42.948333)
"1743",NA,"2012","09",NA,"squid long finned",c(-70.2757154048364, 43.1701850860985)
"1744",NA,"2003","11",NA,"squid long finned",c(-68.5382502375235, 44.1604200627814)
"1745","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.238333, 42.349167)
"1746",NA,"2007","10",NA,"squid long finned",c(-67.8752505433179, 44.2234502043419)
"1747","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2018","07",NA,NA,c(-66.9863, 42.7762)
"1748","MARITIMES SPRING RESEARCH VESSEL SURVEY","2013","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-68.847833, 42.057667)
"1749","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.478333, 42.220667)
"1750","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","02",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.478333, 42.220667)
"1751",NA,"2007","06",NA,"squid long finned",c(-67.0622855712165, 44.6425651077234)
"1752","MARITIMES SPRING RESEARCH VESSEL SURVEY","2012","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-65.759667, 42.421833)
"1753",NA,"2017","10",NA,"squid long finned",c(-68.6773054234303, 43.8922601192745)
"1754",NA,"2008","10",NA,"squid long finned",c(-70.4614554172848, 43.0797553258021)
"1755",NA,"2012","05",NA,"squid long finned",c(-69.4869201833281, 43.827525016857)
"1756","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-64.519333, 42.878667)
"1757",NA,"2017","10",NA,"squid long finned",c(-69.6029495255624, 43.5364950884004)
"1758","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.342, 44.208833)
"1759",NA,"2017","05",NA,"squid long finned",c(-69.4677053068355, 43.7645750325647)
"1760",NA,"2006","10",NA,"squid long finned",c(-68.5551196293524, 44.3131000614572)
"1761",NA,"2017","10",NA,"squid long finned",c(-68.5208898042544, 44.2879150161222)
"1762",NA,"2009","10",NA,"squid long finned",c(-68.2873947396744, 43.9494250267389)
"1763","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.638, 42.591667)
"1764",NA,"2005","10",NA,"squid long finned",c(-69.7533354613564, 43.656420105153)
"1765",NA,"2012","09",NA,"squid long finned",c(-70.6038101609562, 42.9478350846274)
"1766","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2016","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.081667, 42.212333)
"1767",NA,"2003","10",NA,"squid long finned",c(-70.5503353284748, 42.9188352249222)
"1768",NA,"2011","10",NA,"squid long finned",c(-68.1305400071834, 44.2942250043903)
"1769",NA,"2015","10",NA,"squid long finned",c(-69.1160449020251, 43.8148400073043)
"1770",NA,"2008","10",NA,"squid long finned",c(-70.4505604865198, 43.0239401328789)
"1771","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-65.808, 42.935167)
"1772",NA,"2013","05",NA,"squid long finned",c(-68.9178554541492, 44.2192650946322)
"1773","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2011","07",NA,NA,c(-66.2713, 42.2197)
"1774","MARITIMES SUMMER RESEARCH VESSEL SURVEY","2015","07",NA,"LONGFIN SQUID;LONGFIN INSHORE SQUID",c(-66.342, 44.208833)
"1775","DATRAS: ICES Database of trawl surveys, survey: Can-Mar","2016","07",NA,NA,c(-67.25, 43.2165)
"1776","MARITIMES SPRING RESEARCH VESSEL SURVEY","2014","03",NA,"LONGFIN SQUID, LONGFIN INSHORE SQUID",c(-66.318167, 42.628167)
"1777",NA,"2016","05",NA,"squid long finned",c(-69.8494554824331, 43.6941751091495)
"1778",NA,"2010","11",NA,"squid long finned",c(-67.505300616004, 44.295475252848)
